4 
time [ms], voltage [V], encoders [pulses]  
 0.610,  0.000,  0.000  
 0.620,  0.000,  0.000  
 0.630,  0.000,  0.000  
 0.640,  0.000,  0.000  
 0.650,  0.000,  0.000  
 0.660,  0.000,  0.000  
 0.670,  0.000,  0.000  
 0.680,  0.000,  0.000  
 0.690,  0.000,  0.000  
 0.700,  0.000,  0.000  
 0.710,  0.000,  0.000  
 0.720,  0.000,  0.000  
 0.730,  0.000,  0.000  
 0.740,  0.000,  0.000  
 0.750,  0.000,  0.000  
 0.760,  0.000,  0.000  
 0.770,  0.000,  0.000  
 0.780,  0.000,  0.000  
 0.790,  0.000,  0.000  
 0.800,  0.000,  0.000  
 0.810,  0.000,  0.000  
 0.820,  0.000,  0.000  
 0.830,  0.000,  0.000  
 0.840,  0.000,  0.000  
 0.850,  0.000,  0.000  
 0.860,  0.000,  0.000  
 0.870,  0.000,  0.000  
 0.880,  0.000,  0.000  
 0.890,  0.000,  0.000  
 0.900,  0.000,  0.000  
 0.910,  0.000,  0.000  
 0.920,  0.000,  0.000  
 0.930,  0.000,  0.000  
 0.940,  0.000,  0.000  
 0.950,  0.000,  0.000  
 0.960,  0.000,  0.000  
 0.970,  0.000,  0.000  
 0.980,  0.000,  0.000  
 0.990,  0.000,  0.000  
 1.000,  0.000,  0.000  
 1.010,  0.000,  0.000  
 1.020,  0.000,  0.000  
 1.030,  0.000,  0.000  
 1.040,  0.000,  0.000  
 1.050,  0.000,  0.000  
 1.060,  0.000,  0.000  
 1.070,  0.000,  0.000  
 1.080,  0.000,  0.000  
 1.090,  0.000,  0.000  
 1.100,  0.000,  0.000  
 1.110,  0.000,  0.000  
 1.120,  0.000,  0.000  
 1.130,  0.000,  0.000  
 1.140,  0.000,  0.000  
 1.150,  0.000,  0.000  
 1.160,  0.000,  0.000  
 1.170,  0.000,  0.000  
 1.180,  0.000,  0.000  
 1.190,  0.000,  0.000  
 1.200,  0.000,  0.000  
 1.210,  0.000,  0.000  
 1.220,  0.000,  0.000  
 1.230,  0.000,  0.000  
 1.240,  0.000,  0.000  
 1.250,  0.000,  0.000  
 1.260,  0.000,  0.000  
 1.270,  0.000,  0.000  
 1.280,  0.000,  0.000  
 1.290,  0.000,  0.000  
 1.300,  0.000,  0.000  
 1.310,  0.000,  0.000  
 1.320,  0.000,  0.000  
 1.330,  0.000,  0.000  
 1.340,  0.000,  0.000  
 1.350,  0.000,  0.000  
 1.360,  0.000,  0.000  
 1.370,  0.000,  0.000  
 1.380,  0.000,  0.000  
 1.390,  0.000,  0.000  
 1.400,  0.000,  0.000  
 1.410,  0.000,  0.000  
 1.420,  0.000,  0.000  
 1.430,  0.000,  0.000  
 1.440,  0.000,  0.000  
 1.450,  0.000,  0.000  
 1.460,  0.000,  0.000  
 1.470,  0.000,  0.000  
 1.480,  0.000,  0.000  
 1.490,  0.000,  0.000  
 1.500,  0.000,  0.000  
 1.510,  0.000,  0.000  
 1.520,  0.000,  0.000  
 1.530,  0.000,  0.000  
 1.540,  0.000,  0.000  
 1.550,  0.000,  0.000  
 1.560,  0.000,  0.000  
 1.570,  0.000,  0.000  
 1.580,  0.000,  0.000  
 1.590,  0.000,  0.000  
 1.600,  0.000,  0.000  
 1.610,  0.000,  0.000  
 1.620,  0.000,  0.000  
 1.630,  0.000,  0.000  
 1.640,  0.000,  0.000  
 1.650,  0.000,  0.000  
 1.660,  0.000,  0.000  
 1.670,  0.000,  0.000  
 1.680,  0.000,  0.000  
 1.690,  0.000,  0.000  
 1.700,  0.000,  0.000  
 1.710,  0.000,  0.000  
 1.720,  0.000,  0.000  
 1.730,  0.000,  0.000  
 1.740,  0.000,  0.000  
 1.750,  0.000,  0.000  
 1.760,  0.000,  0.000  
 1.770,  0.000,  0.000  
 1.780,  0.000,  0.000  
 1.790,  0.000,  0.000  
 1.800,  0.000,  0.000  
 1.810,  0.000,  0.000  
 1.820,  0.000,  0.000  
 1.830,  0.000,  0.000  
 1.840,  0.000,  0.000  
 1.850,  0.000,  0.000  
 1.860,  0.000,  0.000  
 1.870,  0.000,  0.000  
 1.880,  0.000,  0.000  
 1.890,  0.000,  0.000  
 1.900,  0.000,  0.000  
 1.910,  0.000,  0.000  
 1.920,  0.000,  0.000  
 1.930,  0.000,  0.000  
 1.940,  0.000,  0.000  
 1.950,  0.000,  0.000  
 1.960,  0.000,  0.000  
 1.970,  0.000,  0.000  
 1.980,  0.000,  0.000  
 1.990,  0.000,  0.000  
 2.000,  0.000,  0.000  
 2.010,  0.000,  0.000  
 2.020,  0.000,  0.000  
 2.030,  0.000,  0.000  
 2.040,  0.000,  0.000  
 2.050,  0.000,  0.000  
 2.060,  0.000,  0.000  
 2.070,  0.000,  0.000  
 2.080,  0.000,  0.000  
 2.090,  0.000,  0.000  
 2.100,  0.000,  0.000  
 2.110,  0.000,  0.000  
 2.120,  0.000,  0.000  
 2.130,  0.000,  0.000  
 2.140,  0.000,  0.000  
 2.150,  0.000,  0.000  
 2.160,  0.000,  0.000  
 2.170,  0.000,  0.000  
 2.180,  0.000,  0.000  
 2.190,  0.000,  0.000  
 2.200,  0.000,  0.000  
 2.210,  0.000,  0.000  
 2.220,  0.000,  0.000  
 2.230,  0.000,  0.000  
 2.240,  0.000,  0.000  
 2.250,  0.000,  0.000  
 2.260,  0.000,  0.000  
 2.270,  0.000,  0.000  
 2.280,  0.000,  0.000  
 2.290,  0.000,  0.000  
 2.300,  0.000,  0.000  
 2.310,  0.000,  0.000  
 2.320,  0.000,  0.000  
 2.330,  0.000,  0.000  
 2.340,  0.000,  0.000  
 2.350,  0.000,  0.000  
 2.360,  0.000,  0.000  
 2.370,  0.000,  0.000  
 2.380,  0.000,  0.000  
 2.390,  0.000,  0.000  
 2.400,  0.000,  0.000  
 2.410,  0.000,  0.000  
 2.420,  0.000,  0.000  
 2.430,  0.000,  0.000  
 2.440,  0.000,  0.000  
 2.450,  0.000,  0.000  
 2.460,  0.000,  0.000  
 2.470,  0.000,  0.000  
 2.480,  0.000,  0.000  
 2.490,  0.000,  0.000  
 2.500,  0.000,  0.000  
 2.510,  0.000,  0.000  
 2.520,  0.000,  0.000  
 2.530,  0.000,  0.000  
 2.540,  0.000,  0.000  
 2.550,  0.000,  0.000  
 2.560,  0.000,  0.000  
 2.570,  0.000,  0.000  
 2.580,  0.000,  0.000  
 2.590,  0.000,  0.000  
 2.600,  0.000,  0.000  
 2.610,  0.000,  0.000  
 2.620,  0.000,  0.000  
 2.630,  0.000,  0.000  
 2.640,  0.000,  0.000  
 2.650,  0.000,  0.000  
 2.660,  0.000,  0.000  
 2.670,  0.000,  0.000  
 2.680,  0.000,  0.000  
 2.690,  0.000,  0.000  
 2.700,  0.000,  0.000  
 2.710,  0.000,  0.000  
 2.720,  0.000,  0.000  
 2.730,  0.000,  0.000  
 2.740,  0.000,  0.000  
 2.750,  0.000,  0.000  
 2.760,  0.000,  0.000  
 2.770,  0.000,  0.000  
 2.780,  0.000,  0.000  
 2.790,  0.000,  0.000  
 2.800,  0.000,  0.000  
 2.810,  0.000,  0.000  
 2.820,  0.000,  0.000  
 2.830,  0.000,  0.000  
 2.840,  0.000,  0.000  
 2.850,  0.000,  0.000  
 2.860,  0.000,  0.000  
 2.870,  0.000,  0.000  
 2.880,  0.000,  0.000  
 2.890,  0.000,  0.000  
 2.900,  0.000,  0.000  
 2.910,  0.000,  0.000  
 2.920,  0.000,  0.000  
 2.930,  0.000,  0.000  
 2.940,  0.000,  0.000  
 2.950,  0.000,  0.000  
 2.960,  0.000,  0.000  
 2.970,  0.000,  0.000  
 2.980,  0.000,  0.000  
 2.990,  0.000,  0.000  
 3.000,  0.000,  0.000  
 3.010,  5.000,  0.000  
 3.020,  5.000,  0.000  
 3.030,  5.000,  0.000  
 3.040,  5.000,  0.000  
 3.050,  5.000,  0.000  
 3.060,  5.000,  0.000  
 3.070,  5.000,  0.000  
 3.080,  5.000,  0.000  
 3.090,  5.000,  0.000  
 3.100,  5.000,  0.000  
 3.110,  5.000,  0.000  
 3.120,  5.000,  0.000  
 3.130,  5.000,  0.000  
 3.140,  5.000,  0.000  
 3.150,  5.000,  0.000  
 3.160,  5.000,  0.000  
 3.170,  5.000,  0.000  
 3.180,  5.000,  0.000  
 3.190,  5.000,  0.000  
 3.200,  5.000,  0.000  
 3.210,  5.000,  0.000  
 3.220,  5.000,  0.000  
 3.230,  5.000,  0.000  
 3.240,  5.000,  0.000  
 3.250,  5.000,  0.000  
 3.260,  5.000,  0.000  
 3.270,  5.000,  0.000  
 3.280,  5.000,  0.000  
 3.290,  5.000,  0.000  
 3.300,  5.000,  0.000  
 3.310,  5.000,  0.000  
 3.320,  5.000,  0.000  
 3.330,  5.000,  0.000  
 3.340,  5.000,  0.000  
 3.350,  5.000,  0.000  
 3.360,  5.000,  0.000  
 3.370,  5.000,  0.000  
 3.380,  5.000,  0.000  
 3.390,  5.000,  0.000  
 3.400,  5.000,  0.000  
 3.410,  5.000,  0.000  
 3.420,  5.000,  0.000  
 3.430,  5.000,  0.000  
 3.440,  5.000,  0.000  
 3.450,  5.000,  0.000  
 3.460,  5.000,  0.000  
 3.470,  5.000,  0.000  
 3.480,  5.000,  0.000  
 3.490,  5.000,  0.000  
 3.500,  5.000,  0.000  
 3.510,  5.000,  0.000  
 3.520,  5.000,  0.000  
 3.530,  5.000,  0.000  
 3.540,  5.000,  0.000  
 3.550,  5.000,  0.000  
 3.560,  5.000,  0.000  
 3.570,  5.000,  0.000  
 3.580,  5.000,  0.000  
 3.590,  5.000,  0.000  
 3.600,  5.000,  0.000  
 3.610,  5.000,  0.000  
 3.620,  5.000,  0.000  
 3.630,  5.000,  0.000  
 3.640,  5.000,  0.000  
 3.650,  5.000,  0.000  
 3.660,  5.000,  0.000  
 3.670,  5.000,  0.000  
 3.680,  5.000,  0.000  
 3.690,  5.000,  0.000  
 3.700,  5.000,  0.000  
 3.710,  5.000,  0.000  
 3.720,  5.000,  0.000  
 3.730,  5.000,  0.000  
 3.740,  5.000,  0.000  
 3.750,  5.000,  0.000  
 3.760,  5.000,  0.000  
 3.770,  5.000,  0.000  
 3.780,  5.000,  0.000  
 3.790,  5.000,  0.000  
 3.800,  5.000,  0.000  
 3.810,  5.000,  0.000  
 3.820,  5.000,  0.000  
 3.830,  5.000,  0.000  
 3.840,  5.000,  0.000  
 3.850,  5.000,  0.000  
 3.860,  5.000,  0.000  
 3.870,  5.000,  0.000  
 3.880,  5.000,  0.000  
 3.890,  5.000,  0.000  
 3.900,  5.000,  0.000  
 3.910,  5.000,  0.000  
 3.920,  5.000,  0.000  
 3.930,  5.000,  0.000  
 3.940,  5.000,  0.000  
 3.950,  5.000,  0.000  
 3.960,  5.000,  0.000  
 3.970,  5.000,  0.000  
 3.980,  5.000,  0.000  
 3.990,  5.000,  0.000  
 4.000,  5.000,  0.000  
 4.010,  5.000,  0.000  
 4.020,  5.000,  0.000  
 4.030,  5.000,  0.000  
 4.040,  5.000,  0.000  
 4.050,  5.000,  0.000  
 4.060,  5.000,  0.000  
 4.070,  5.000,  0.000  
 4.080,  5.000,  0.000  
 4.090,  5.000,  0.000  
 4.100,  5.000,  0.000  
 4.110,  5.000,  0.000  
 4.120,  5.000,  0.000  
 4.130,  5.000,  0.000  
 4.140,  5.000,  0.000  
 4.150,  5.000,  0.000  
 4.160,  5.000,  0.000  
 4.170,  5.000,  0.000  
 4.180,  5.000,  0.000  
 4.190,  5.000,  0.000  
 4.200,  5.000,  0.000  
 4.210,  5.000,  0.000  
 4.220,  5.000,  0.000  
 4.230,  5.000,  0.000  
 4.240,  5.000,  0.000  
 4.250,  5.000,  0.000  
 4.260,  5.000,  0.000  
 4.270,  5.000,  0.000  
 4.280,  5.000,  0.000  
 4.290,  5.000,  0.000  
 4.300,  5.000,  0.000  
 4.310,  5.000,  0.000  
 4.320,  5.000,  0.000  
 4.330,  5.000,  0.000  
 4.340,  5.000,  0.000  
 4.350,  5.000,  0.000  
 4.360,  5.000,  0.000  
 4.370,  5.000,  0.000  
 4.380,  5.000,  0.000  
 4.390,  5.000,  0.000  
 4.400,  5.000,  0.000  
 4.410,  5.000,  0.000  
 4.420,  5.000,  0.000  
 4.430,  5.000,  0.000  
 4.440,  5.000,  0.000  
 4.450,  5.000,  0.000  
 4.460,  5.000,  0.000  
 4.470,  5.000,  0.000  
 4.480,  5.000,  0.000  
 4.490,  5.000,  0.000  
 4.500,  5.000,  0.000  
 4.510,  5.000,  0.000  
 4.520,  5.000,  0.000  
 4.530,  5.000,  0.000  
 4.540,  5.000,  0.000  
 4.550,  5.000,  0.000  
 4.560,  5.000,  0.000  
 4.570,  5.000,  0.000  
 4.580,  5.000,  0.000  
 4.590,  5.000,  0.000  
 4.600,  5.000,  0.000  
 4.610,  5.000,  0.000  
 4.620,  5.000,  0.000  
 4.630,  5.000,  0.000  
 4.640,  5.000,  0.000  
 4.650,  5.000,  0.000  
 4.660,  5.000,  0.000  
 4.670,  5.000,  0.000  
 4.680,  5.000,  0.000  
 4.690,  5.000,  0.000  
 4.700,  5.000,  0.000  
 4.710,  5.000,  0.000  
 4.720,  5.000,  0.000  
 4.730,  5.000,  0.000  
 4.740,  5.000,  0.000  
 4.750,  5.000,  0.000  
 4.760,  5.000,  0.000  
 4.770,  5.000,  0.000  
 4.780,  5.000,  0.000  
 4.790,  5.000,  0.000  
 4.800,  5.000,  0.000  
 4.810,  5.000,  0.000  
 4.820,  5.000,  0.000  
 4.830,  5.000,  0.000  
 4.840,  5.000,  0.000  
 4.850,  5.000,  0.000  
 4.860,  5.000,  0.000  
 4.870,  5.000,  0.000  
 4.880,  5.000,  0.000  
 4.890,  5.000,  0.000  
 4.900,  5.000,  0.000  
 4.910,  5.000,  0.000  
 4.920,  5.000,  0.000  
 4.930,  5.000,  0.000  
 4.940,  5.000,  0.000  
 4.950,  5.000,  0.000  
 4.960,  5.000,  0.000  
 4.970,  5.000,  0.000  
 4.980,  5.000,  0.000  
 4.990,  5.000,  0.000  
 5.000,  5.000,  0.000  
 5.010,  5.000,  0.000  
 5.020,  5.000,  0.000  
 5.030,  5.000,  0.000  
 5.040,  5.000,  0.000  
 5.050,  5.000,  0.000  
 5.060,  5.000,  0.000  
 5.070,  5.000,  0.000  
 5.080,  5.000,  0.000  
 5.090,  5.000,  0.000  
 5.100,  5.000,  0.000  
 5.110,  5.000,  0.000  
 5.120,  5.000,  0.000  
 5.130,  5.000,  0.000  
 5.140,  5.000,  0.000  
 5.150,  5.000,  0.000  
 5.160,  5.000,  0.000  
 5.170,  5.000,  0.000  
 5.180,  5.000,  0.000  
 5.190,  5.000,  0.000  
 5.200,  5.000,  0.000  
 5.210,  5.000,  0.000  
 5.220,  5.000,  0.000  
 5.230,  5.000,  0.000  
 5.240,  5.000,  0.000  
 5.250,  5.000,  0.000  
 5.260,  5.000,  0.000  
 5.270,  5.000,  0.000  
 5.280,  5.000,  0.000  
 5.290,  5.000,  0.000  
 5.300,  5.000,  0.000  
 5.310,  5.000,  0.000  
 5.320,  5.000,  0.000  
 5.330,  5.000,  0.000  
 5.340,  5.000,  0.000  
 5.350,  5.000,  0.000  
 5.360,  5.000,  0.000  
 5.370,  5.000,  0.000  
 5.380,  5.000,  0.000  
 5.390,  5.000,  0.000  
 5.400,  5.000,  0.000  
 5.410,  5.000,  0.000  
 5.420,  5.000,  0.000  
 5.430,  5.000,  0.000  
 5.440,  5.000,  0.000  
 5.450,  5.000,  0.000  
 5.460,  5.000,  0.000  
 5.470,  5.000,  0.000  
 5.480,  5.000,  0.000  
 5.490,  5.000,  0.000  
 5.500,  5.000,  0.000  
 5.510,  5.000,  0.000  
 5.520,  5.000,  0.000  
 5.530,  5.000,  0.000  
 5.540,  5.000,  0.000  
 5.550,  5.000,  0.000  
 5.560,  5.000,  0.000  
 5.570,  5.000,  0.000  
 5.580,  5.000,  0.000  
 5.590,  5.000,  0.000  
 5.600,  5.000,  0.000  
 5.610,  5.000,  0.000  
 5.620,  5.000,  0.000  
 5.630,  5.000,  0.000  
 5.640,  5.000,  0.000  
 5.650,  5.000,  0.000  
 5.660,  5.000,  0.000  
 5.670,  5.000,  0.000  
 5.680,  5.000,  0.000  
 5.690,  5.000,  0.000  
 5.700,  5.000,  0.000  
 5.710,  5.000,  0.000  
 5.720,  5.000,  0.000  
 5.730,  5.000,  0.000  
 5.740,  5.000,  0.000  
 5.750,  5.000,  0.000  
 5.760,  5.000,  0.000  
 5.770,  5.000,  0.000  
 5.780,  5.000,  0.000  
 5.790,  5.000,  0.000  
 5.800,  5.000,  0.000  
 5.810,  5.000,  0.000  
 5.820,  5.000,  0.000  
 5.830,  5.000,  0.000  
 5.840,  5.000,  0.000  
 5.850,  5.000,  0.000  
 5.860,  5.000,  0.000  
 5.870,  5.000,  0.000  
 5.880,  5.000,  0.000  
 5.890,  5.000,  0.000  
 5.900,  5.000,  0.000  
 5.910,  5.000,  0.000  
 5.920,  5.000,  0.000  
 5.930,  5.000,  0.000  
 5.940,  5.000,  0.000  
 5.950,  5.000,  0.000  
 5.960,  5.000,  0.000  
 5.970,  5.000,  0.000  
 5.980,  5.000,  0.000  
 5.990,  5.000,  0.000  
 6.000,  0.000,  0.000  
 6.010,  0.000,  0.000  
 6.020,  0.000,  0.000  
 6.030,  0.000,  0.000  
 6.040,  0.000,  0.000  
 6.050,  0.000,  0.000  
 6.060,  0.000,  0.000  
 6.070,  0.000,  0.000  
 6.080,  0.000,  0.000  
 6.090,  0.000,  0.000  
 6.100,  0.000,  0.000  
 6.110,  0.000,  0.000  
 6.120,  0.000,  0.000  
 6.130,  0.000,  0.000  
 6.140,  0.000,  0.000  
 6.150,  0.000,  0.000  
 6.160,  0.000,  0.000  
 6.170,  0.000,  0.000  
 6.180,  0.000,  0.000  
 6.190,  0.000,  0.000  
 6.200,  0.000,  0.000  
 6.210,  0.000,  0.000  
 6.220,  0.000,  0.000  
 6.230,  0.000,  0.000  
 6.240,  0.000,  0.000  
 6.250,  0.000,  0.000  
 6.260,  0.000,  0.000  
 6.270,  0.000,  0.000  
 6.280,  0.000,  0.000  
 6.290,  0.000,  0.000  
 6.300,  0.000,  0.000  
 6.310,  0.000,  0.000  
 6.320,  0.000,  0.000  
 6.330,  0.000,  0.000  
 6.340,  0.000,  0.000  
 6.350,  0.000,  0.000  
 6.360,  0.000,  0.000  
 6.370,  0.000,  0.000  
 6.380,  0.000,  0.000  
 6.390,  0.000,  0.000  
 6.400,  0.000,  0.000  
 6.410,  0.000,  0.000  
 6.420,  0.000,  0.000  
 6.430,  0.000,  0.000  
 6.440,  0.000,  0.000  
 6.450,  0.000,  0.000  
 6.460,  0.000,  0.000  
 6.470,  0.000,  0.000  
 6.480,  0.000,  0.000  
 6.490,  0.000,  0.000  
 6.500,  0.000,  0.000  
 6.510,  0.000,  0.000  
 6.520,  0.000,  0.000  
 6.530,  0.000,  0.000  
 6.540,  0.000,  0.000  
 6.550,  0.000,  0.000  
 6.560,  0.000,  0.000  
 6.570,  0.000,  0.000  
 6.580,  0.000,  0.000  
 6.590,  0.000,  0.000  
 6.600,  0.000,  0.000  
 6.610,  0.000,  0.000  
 6.620,  0.000,  0.000  
 6.630,  0.000,  0.000  
 6.640,  0.000,  0.000  
 6.650,  0.000,  0.000  
 6.660,  0.000,  0.000  
 6.670,  0.000,  0.000  
 6.680,  0.000,  0.000  
 6.690,  0.000,  0.000  
 6.700,  0.000,  0.000  
 6.710,  0.000,  0.000  
 6.720,  0.000,  0.000  
 6.730,  0.000,  0.000  
 6.740,  0.000,  0.000  
 6.750,  0.000,  0.000  
 6.760,  0.000,  0.000  
 6.770,  0.000,  0.000  
 6.780,  0.000,  0.000  
 6.790,  0.000,  0.000  
 6.800,  0.000,  0.000  
 6.810,  0.000,  0.000  
 6.820,  0.000,  0.000  
 6.830,  0.000,  0.000  
 6.840,  0.000,  0.000  
 6.850,  0.000,  0.000  
 6.860,  0.000,  0.000  
 6.870,  0.000,  0.000  
 6.880,  0.000,  0.000  
 6.890,  0.000,  0.000  
 6.900,  0.000,  0.000  
 6.910,  0.000,  0.000  
 6.920,  0.000,  0.000  
 6.930,  0.000,  0.000  
 6.940,  0.000,  0.000  
 6.950,  0.000,  0.000  
 6.960,  0.000,  0.000  
 6.970,  0.000,  0.000  
 6.980,  0.000,  0.000  
 6.990,  0.000,  0.000  
 7.000,  0.000,  0.000  
 7.010,  0.000,  0.000  
 7.020,  0.000,  0.000  
 7.030,  0.000,  0.000  
 7.040,  0.000,  0.000  
 7.050,  0.000,  0.000  
 7.060,  0.000,  0.000  
 7.070,  0.000,  0.000  
 7.080,  0.000,  0.000  
 7.090,  0.000,  0.000  
 7.100,  0.000,  0.000  
 7.110,  0.000,  0.000  
 7.120,  0.000,  0.000  
 7.130,  0.000,  0.000  
 7.140,  0.000,  0.000  
 7.150,  0.000,  0.000  
 7.160,  0.000,  0.000  
 7.170,  0.000,  0.000  
 7.180,  0.000,  0.000  
 7.190,  0.000,  0.000  
 7.200,  0.000,  0.000  
 7.210,  0.000,  0.000  
 7.220,  0.000,  0.000  
 7.230,  0.000,  0.000  
 7.240,  0.000,  0.000  
 7.250,  0.000,  0.000  
 7.260,  0.000,  0.000  
 7.270,  0.000,  0.000  
 7.280,  0.000,  0.000  
 7.290,  0.000,  0.000  
 7.300,  0.000,  0.000  
 7.310,  0.000,  0.000  
 7.320,  0.000,  0.000  
 7.330,  0.000,  0.000  
 7.340,  0.000,  0.000  
 7.350,  0.000,  0.000  
 7.360,  0.000,  0.000  
 7.370,  0.000,  0.000  
 7.380,  0.000,  0.000  
 7.390,  0.000,  0.000  
 7.400,  0.000,  0.000  
 7.410,  0.000,  0.000  
 7.420,  0.000,  0.000  
 7.430,  0.000,  0.000  
 7.440,  0.000,  0.000  
 7.450,  0.000,  0.000  
 7.460,  0.000,  0.000  
 7.470,  0.000,  0.000  
 7.480,  0.000,  0.000  
 7.490,  0.000,  0.000  
 7.500,  0.000,  0.000  
 7.510,  0.000,  0.000  
 7.520,  0.000,  0.000  
 7.530,  0.000,  0.000  
 7.540,  0.000,  0.000  
 7.550,  0.000,  0.000  
 7.560,  0.000,  0.000  
 7.570,  0.000,  0.000  
 7.580,  0.000,  0.000  
 7.590,  0.000,  0.000  
 7.600,  0.000,  0.000  
 7.610,  0.000,  0.000  
 7.620,  0.000,  0.000  
 7.630,  0.000,  0.000  
 7.640,  0.000,  0.000  
 7.650,  0.000,  0.000  
 7.660,  0.000,  0.000  
 7.670,  0.000,  0.000  
 7.680,  0.000,  0.000  
 7.690,  0.000,  0.000  
 7.700,  0.000,  0.000  
 7.710,  0.000,  0.000  
 7.720,  0.000,  0.000  
 7.730,  0.000,  0.000  
 7.740,  0.000,  0.000  
 7.750,  0.000,  0.000  
 7.760,  0.000,  0.000  
 7.770,  0.000,  0.000  
 7.780,  0.000,  0.000  
 7.790,  0.000,  0.000  
 7.800,  0.000,  0.000  
 7.810,  0.000,  0.000  
 7.820,  0.000,  0.000  
 7.830,  0.000,  0.000  
 7.840,  0.000,  0.000  
 7.850,  0.000,  0.000  
 7.860,  0.000,  0.000  
 7.870,  0.000,  0.000  
 7.880,  0.000,  0.000  
 7.890,  0.000,  0.000  
 7.900,  0.000,  0.000  
 7.910,  0.000,  0.000  
 7.920,  0.000,  0.000  
 7.930,  0.000,  0.000  
 7.940,  0.000,  0.000  
 7.950,  0.000,  0.000  
 7.960,  0.000,  0.000  
 7.970,  0.000,  0.000  
 7.980,  0.000,  0.000  
 7.990,  0.000,  0.000  
 8.000,  0.000,  0.000  
 8.010,  0.000,  0.000  
 8.020,  0.000,  0.000  
 8.030,  0.000,  0.000  
 8.040,  0.000,  0.000  
 8.050,  0.000,  0.000  
 8.060,  0.000,  0.000  
 8.070,  0.000,  0.000  
 8.080,  0.000,  0.000  
 8.090,  0.000,  0.000  
 8.100,  0.000,  0.000  
 8.110,  0.000,  0.000  
 8.120,  0.000,  0.000  
 8.130,  0.000,  0.000  
 8.140,  0.000,  0.000  
 8.150,  0.000,  0.000  
 8.160,  0.000,  0.000  
 8.170,  0.000,  0.000  
 8.180,  0.000,  0.000  
 8.190,  0.000,  0.000  
 8.200,  0.000,  0.000  
 8.210,  0.000,  0.000  
 8.220,  0.000,  0.000  
 8.230,  0.000,  0.000  
 8.240,  0.000,  0.000  
 8.250,  0.000,  0.000  
 8.260,  0.000,  0.000  
 8.270,  0.000,  0.000  
 8.280,  0.000,  0.000  
 8.290,  0.000,  0.000  
 8.300,  0.000,  0.000  
 8.310,  0.000,  0.000  
 8.320,  0.000,  0.000  
 8.330,  0.000,  0.000  
 8.340,  0.000,  0.000  
 8.350,  0.000,  0.000  
 8.360,  0.000,  0.000  
 8.370,  0.000,  0.000  
 8.380,  0.000,  0.000  
 8.390,  0.000,  0.000  
 8.400,  0.000,  0.000  
 8.410,  0.000,  0.000  
 8.420,  0.000,  0.000  
 8.430,  0.000,  0.000  
 8.440,  0.000,  0.000  
 8.450,  0.000,  0.000  
 8.460,  0.000,  0.000  
 8.470,  0.000,  0.000  
 8.480,  0.000,  0.000  
 8.490,  0.000,  0.000  
 8.500,  0.000,  0.000  
 8.510,  0.000,  0.000  
 8.520,  0.000,  0.000  
 8.530,  0.000,  0.000  
 8.540,  0.000,  0.000  
 8.550,  0.000,  0.000  
 8.560,  0.000,  0.000  
 8.570,  0.000,  0.000  
 8.580,  0.000,  0.000  
 8.590,  0.000,  0.000  
 8.600,  0.000,  0.000  
 8.610,  0.000,  0.000  
 8.620,  0.000,  0.000  
 8.630,  0.000,  0.000  
 8.640,  0.000,  0.000  
 8.650,  0.000,  0.000  
 8.660,  0.000,  0.000  
 8.670,  0.000,  0.000  
 8.680,  0.000,  0.000  
 8.690,  0.000,  0.000  
 8.700,  0.000,  0.000  
 8.710,  0.000,  0.000  
